"keyword","broaderLabel","relatedLabel"
"telekinese",,
"bijgeloof",,"kabouters"
"bijgeloof",,"wonderen"
"bijgeloof",,"magie"
"bijgeloof",,"rituelen"
"bijgeloof",,"astrologie"
"bijgeloof",,"bovennatuurlijke verschijnselen"
"bijgeloof",,"sterrenbeelden"
"bijgeloof",,"toekomstvoorspellingen"
"bijgeloof",,"complottheorieën"
"cowboys","agrarische beroepen","rodeo's"
"cowboys","agrarische beroepen","westerns"
"cowboys","agrarische beroepen","veehouderijen"
"burn-out","beroepsziekten","stress"
"burn-out","beroepsziekten","arbeidsomstandigheden"
"exoten (flora en fauna)","dieren","flora"
"exoten (flora en fauna)","dieren","fauna"
"exoten (flora en fauna)","dieren","plagen"
"exoten (flora en fauna)","dieren","biodiversiteit"
"exoten (flora en fauna)","planten","flora"
"exoten (flora en fauna)","planten","fauna"
"exoten (flora en fauna)","planten","plagen"
"exoten (flora en fauna)","planten","biodiversiteit"
"consumptie-ijs","zuivelproducten","ijs"
"consumptie-ijs","zuivelproducten","ijsverkopers"
"consumptie-ijs","zuivelproducten","snoepgoed"
"buitenlandse werknemers","werknemers","verblijfsvergunningen"
"buitenlandse werknemers","werknemers","immigratie"
"buitenlandse werknemers","werknemers","immigranten"
"buitenlandse werknemers","werknemers","werkvergunningen"
"buitenlandse werknemers","werknemers","etnische minderheden"
"buitenlandse werknemers","werknemers","arbeiders"
"buitenlandse werknemers","werknemers","seizoenarbeid"
"buitenlandse werknemers","werknemers","arbeidsmigratie"
"ontdekkingsreizen","reizen","safari's"
"ontdekkingsreizen","reizen","expedities"
"mobiele berichten","telecommunicatie","mobiele telefonie"
"'inheems' bestuur","koloniaal bestuur","sultans"
"'inheems' bestuur","koloniaal bestuur","stamhoofden"
"ijsverkopers","handelsberoepen","consumptie-ijs"
"ongedocumenteerden","mensen","mensenhandel"
"ongedocumenteerden","mensen","vluchtelingen"
"ongedocumenteerden","mensen","vreemdelingenbeleid"
"ongedocumenteerden","mensen","bevolkingsgroepen"
"ongedocumenteerden","mensen","uitwijzingen"
"ongedocumenteerden","mensen","statelozen"
"ongedocumenteerden","mensen","asielzoekers"
"ongedocumenteerden","mensen","vreemdelingenpolitie"
"gewetensbezwaarden","mensen","ambtenaren"
"gewetensbezwaarden","mensen","dienstweigeraars"
"psychologie","sociale wetenschappen","fantasie"
"psychologie","sociale wetenschappen","schizofrenie"
"psychologie","sociale wetenschappen","psychiatrie"
"psychologie","sociale wetenschappen","psychotherapie"
"psychologie","sociale wetenschappen","neurodiversiteit"
"psychologie","sociale wetenschappen","hypnose"
"psychologie","sociale wetenschappen","gedragsonderzoek"
"psychologie","sociale wetenschappen","geestelijke gezondheidszorg"
"psychologie","sociale wetenschappen","kunstmatige intelligentie"
"psychologie","sociale wetenschappen","geheugen"
"psychologie","sociale wetenschappen","psychosomatische aandoeningen"
"psychologie","sociale wetenschappen","depressies"
"psychologie","sociale wetenschappen","intelligentie"
"au pairs","buitenlandse werknemers","kinderoppas"
"au pairs","buitenlandse werknemers","kinderopvang"
"au pairs","buitenlandse werknemers","huishoudelijk personeel"
"alternatieve straffen","straffen","jeugdinrichtingen"
"achterstandsbuurten","woonwijken","sloppenwijken"
"achterstandsbuurten","woonwijken","krotten"
"achterstandsbuurten","woonwijken","verpaupering"
"wetenschappers","wetenschappelijke beroepen","vogelonderzoek"
"wetenschappers","wetenschappelijke beroepen","vogels"
"drag","gedrag","seksualiteit"
"drag","gedrag","homoseksualiteit"
"drag","gedrag","transgender"
"drag","gedrag","kleding"
"meisjes","vrouwen","jeugd"
"meisjes","vrouwen","geslacht"
"mensen",,"bevolking"
"mensen",,"menselijk lichaam"
"mensen",,"leeftijdsgroepen"
"mensen",,"dieren"
"mensen",,"beroepen"
"mensen",,"menigte"
"mensen",,"antropologie"
"mensen",,"levensloop"
"mensen",,"bevolkingsgroepen"
"hormonen",,"doping"
"hormonen",,"overgang"
"hormonen",,"menopauze"
"hormonen",,"stofwisselingsziekten"
"hormonen",,"geslachtsorganen"
"gemeentehuizen","gebouwen","gemeenten"
"gemeentehuizen","gebouwen","provinciehuizen"
"gemeentehuizen","gebouwen","gemeentebesturen"
"provinciehuizen","gebouwen","provincies"
"provinciehuizen","gebouwen","gemeentehuizen"
"regeringscrises",,"regeringen"
"regeringscrises",,"aftredingen"
"regeringscrises",,"moties van wantrouwen"
"gemeenteraden",,"gemeentebesturen"
"gemeenteraden",,"gemeenten"
"gemeenteraden",,"lokale politieke partijen"
"wetgeving",,"uitgaansverbod"
"wetgeving",,"recht"
